Date,Open,High,Low,Close,Volume,Company
2020-01-01,126.83654225952426,128.58260957165487,126.21994648996133,127.5347747885786,21360115,Tesla Inc.
2020-01-02,130.75420041901577,131.199117477066,129.72568058561436,131.53806996891203,38933274,Tesla Inc.
2020-01-03,126.77096476245798,127.45164714248703,124.47740842123042,125.93556584053846,1721807,Tesla Inc.
2020-01-04,128.85113139470286,131.1087823132199,128.3848554615024,128.7537263273796,8364061,Tesla Inc.
2020-01-05,134.95797532710208,136.9375050511747,131.63138480939898,135.1766989010184,39303904,Tesla Inc.
2020-01-06,128.9070456661663,132.27119087268304,127.53742585722793,129.4648974835283,24128406,Tesla Inc.
2020-01-07,130.63987683372645,131.22454420345323,130.59415119864548,130.27370016014513,26264986,Tesla Inc.
2020-01-08,129.58996357792782,131.89150668424418,128.73095023790646,130.43276284940362,21394524,Tesla Inc.
2020-01-09,132.0565900331836,133.82159886959576,128.0990871340626,131.8904466205059,38061072,Tesla Inc.
2020-01-10,131.95510407380283,133.37948286371014,131.36155790324636,132.06892564595228,21296937,Tesla Inc.
2020-01-11,130.5912255381729,130.61832738868466,129.166782293953,130.20438246070745,31462695,Tesla Inc.
2020-01-12,127.13298517534795,127.74599695609639,124.81618136751334,126.30175201942204,2095661,Tesla Inc.
2020-01-13,124.80671626670473,125.2896825850001,124.47591668578302,124.6889246349067,14746298,Tesla Inc.
2020-01-14,125.53048553447778,126.9611891081052,123.2674410539309,125.18955704529436,6593981,Tesla Inc.
2020-01-15,126.84267030232192,127.71027822416141,126.11701677972192,125.31229963074567,10303573,Tesla Inc.
2020-01-16,129.90487558620512,129.97697641648887,128.22357878243952,130.99247826653047,3349876,Tesla Inc.
2020-01-17,129.45245014578754,129.58657353053965,129.18867580771612,128.96276658913436,38869076,Tesla Inc.
2020-01-18,135.63282177148733,138.2793017651757,132.73033660743224,135.32448101365478,45340563,Tesla Inc.
2020-01-19,136.4048248653832,136.58686373440537,134.7948301011999,137.39149095220031,26524462,Tesla Inc.
2020-01-20,139.32548282032997,139.81656338558238,136.81460988587682,139.74691668862775,35597067,Tesla Inc.
2020-01-21,141.35128011934538,142.11124932809236,139.1978183624303,141.21379347988574,19522798,Tesla Inc.
2020-01-22,136.78766350158048,138.9001175541052,136.30907557028996,136.78425331313338,38402584,Tesla Inc.
2020-01-23,136.48118408032983,140.14684703166822,136.30997678514248,137.10249814949518,43605195,Tesla Inc.
2020-01-24,138.99063160779014,142.77501758472513,135.3251858426464,138.3120548999891,14617394,Tesla Inc.
2020-01-25,141.71699696149827,142.02487237875008,140.12368782501483,140.98874180274294,32304699,Tesla Inc.
2020-01-26,142.90425434796833,143.82711857273034,141.45604487532515,143.42238468198596,49829257,Tesla Inc.
2020-01-27,139.3926837743493,139.453776202392,139.15764939531536,138.03588276784822,6525247,Tesla Inc.
2020-01-28,135.9537863983898,137.91835832176469,134.77093874949583,136.3857675954677,15369239,Tesla Inc.
2020-01-29,129.25364521402875,129.4434880699394,128.9112953039475,128.8819596680186,16264072,Tesla Inc.
2020-01-30,128.74053505151142,130.44548862898537,128.23913672614708,128.39798940467094,12718519,Tesla Inc.
2020-01-31,132.43052368302202,132.58083635895485,129.34443294496492,133.01068118345626,4797739,Tesla Inc.
2020-02-01,132.46343495567254,133.47350255695738,132.09666213429725,133.13313452096793,37410172,Tesla Inc.
2020-02-02,131.812810587413,133.46360436816553,128.81727833606334,130.27605765316713,21311172,Tesla Inc.
2020-02-03,126.87372634465099,127.33295970943674,126.47838215380983,125.80864555998025,27122326,Tesla Inc.
2020-02-04,125.2963804682533,125.87488117893878,123.80638811845498,125.95067596680589,47246004,Tesla Inc.
2020-02-05,132.35583187578735,133.83169436507103,131.47303388829718,133.19883012207188,49386332,Tesla Inc.
2020-02-06,127.34648729631078,128.0228663919307,126.25276142826334,128.1773255092979,25526751,Tesla Inc.
2020-02-07,127.39443772410723,128.89857644471883,126.78408193937607,126.84732330604336,25003588,Tesla Inc.
2020-02-08,126.08872475335816,127.24259031050984,125.35165508497025,125.60813811162102,37622839,Tesla Inc.
2020-02-09,127.91274627947159,128.4277031439615,126.81360507523092,127.8593806601147,14658543,Tesla Inc.
2020-02-10,127.19255586635327,127.600303013136,126.98304804700359,126.80803558429268,46614450,Tesla Inc.
2020-02-11,127.10746229641755,127.72629753907793,126.15541166140721,127.50625424483697,31378531,Tesla Inc.
2020-02-12,127.88333562763157,130.18695866364789,127.5862438326451,126.91344941175635,4683882,Tesla Inc.
2020-02-13,134.61272982497522,134.66012696443673,134.10228592082456,135.00361724403655,32292454,Tesla Inc.
2020-02-14,130.37955067483637,131.65558745142383,129.63386617252357,130.1340415759901,36588680,Tesla Inc.
2020-02-15,129.42951040086092,130.01369688564776,128.50651017444997,129.12432544519868,14517854,Tesla Inc.
2020-02-16,132.12319712266788,132.21264780989335,130.4591731863978,133.287256911453,43874454,Tesla Inc.
2020-02-17,135.67290253973303,136.54424793573494,133.52222675378275,136.88765520758315,5468712,Tesla Inc.
